,Name,Last,% Dif.,High,Low,Volume,Turnover (â‚¬ Thousands),Date,Time
0,ACCIONA,189.2000,-0.16,190.0000,187.4000,"20,137","3,808.69",07/06/2022,12:25:10
1,ACERINOX,11.6800,-0.34,11.7600,11.6050,"823,017","9,619.55",07/06/2022,12:25:15
2,ACS,26.7900,-0.22,26.9100,26.6600,"144,000","3,862.44",07/06/2022,12:24:38
3,AENA,141.6000,-0.32,142.1000,141.3500,"20,318","2,879.65",07/06/2022,12:24:57
4,ALMIRALL,10.3900,0.39,10.8200,10.3600,"403,502","4,256.16",07/06/2022,12:21:42
5,AMADEUS,57.2000,-0.97,57.6400,56.7800,"84,981","4,863.99",07/06/2022,12:24:53
6,ARCELORMIT.,30.6950,-0.34,30.8150,30.4500,"79,819","2,443.79",07/06/2022,12:25:05
7,B.SANTANDER,3.0150,-0.76,3.0420,3.0090,"5,023,780","15,185.24",07/06/2022,12:25:17
8,BA.SABADELL,0.8510,0.07,0.8560,0.8452,"7,015,644","5,970.51",07/06/2022,12:25:06
9,BANKINTER,5.9320,-0.07,5.9640,5.9100,"319,594","1,899.05",07/06/2022,12:25:06
10,BBVA,5.0700,-0.67,5.1070,5.0630,"1,377,096","7,003.15",07/06/2022,12:25:06
11,CAIXABANK,3.4720,0.26,3.4930,3.4350,"5,227,626","18,176.22",07/06/2022,12:25:03
12,CELLNEX,41.6500,-0.10,41.7900,41.2000,"103,162","4,279.20",07/06/2022,12:25:01
13,CIE AUTOMOT.,24.6400,0.90,24.7600,24.2800,"63,828","1,569.42",07/06/2022,12:23:14
14,ENAGAS,22.0200,1.47,22.0600,21.6400,"197,521","4,328.12",07/06/2022,12:24:45
15,ENDESA,20.8000,0.63,20.8400,20.5300,"187,176","3,879.64",07/06/2022,12:25:06
16,FERROVIAL,25.0900,0.97,25.2400,24.8500,"227,616","5,716.42",07/06/2022,12:25:07
17,FLUIDRA,24.8800,-0.88,25.2200,24.7600,"110,688","2,759.17",07/06/2022,12:25:16
18,GRIFOLS CL.A,18.9250,-0.97,19.1000,18.8350,"134,784","2,556.24",07/06/2022,12:25:11
19,IAG,1.4540,-1.46,1.4830,1.4500,"8,114,181","11,878.24",07/06/2022,12:25:01
20,IBERDROLA,10.8600,-0.37,10.9600,10.8150,"4,950,247","53,706.68",07/06/2022,12:25:15
21,INDITEX,22.0000,0.00,22.0500,21.8000,"1,013,878","22,248.44",07/06/2022,12:25:09
22,INDRA A,10.6600,-0.56,10.7100,10.6000,"132,462","1,412.26",07/06/2022,12:21:07
23,INM.COLONIAL,7.5850,1.47,7.6200,7.4350,"208,701","1,575.78",07/06/2022,12:24:15
24,MAPFRE,1.7560,0.23,1.7720,1.7530,"2,436,838","4,305.47",07/06/2022,12:21:35
25,MELIA HOTELS,7.6200,1.40,7.6700,7.5300,"237,370","1,806.83",07/06/2022,12:23:32
26,MERLIN,10.5400,0.00,10.5900,10.5200,"186,757","1,972.88",07/06/2022,12:23:52
27,NATURGY,28.4600,0.42,28.5600,28.0900,"47,586","1,352.59",07/06/2022,12:23:49
28,PHARMA MAR,69.2800,-1.84,70.4000,69.1600,"25,092","1,743.68",07/06/2022,12:23:58
29,R.E.C.,19.1100,0.45,19.1600,18.9550,"133,476","2,544.16",07/06/2022,12:24:55
30,REPSOL,15.8800,3.02,16.0450,15.3900,"2,760,539","43,345.48",07/06/2022,12:24:57
31,ROVI,60.0000,-0.99,60.5000,59.8000,"27,131","1,631.34",07/06/2022,12:18:50
32,SIEMENS GAME,18.0250,-0.06,18.0500,18.0050,"1,549,486","27,936.40",07/06/2022,12:25:02
33,SOLARIA,22.7700,2.71,22.8200,22.0900,"182,454","4,110.71",07/06/2022,12:24:25
34,TELEFONICA,4.6380,-0.94,4.6750,4.6250,"2,346,281","10,892.69",07/06/2022,12:25:18
